Mean 	3.071410
Latitude 	49.337000
Constituent 	 freq 	 amp (m) 	 amp error 	 phase (deg PST) 	 phase error 
SA   	 0.000114	 0.038862	 0.027494	 296.506169	 49.658700
SSA  	 0.000228	 0.074111	 0.030820	 231.162371	 22.639662
MSM  	 0.001310	 0.004547	 0.023178	 343.604769	 177.854886
MM   	 0.001512	 0.043550	 0.035131	 208.783469	 45.380771
MSF  	 0.002822	 0.021411	 0.026603	 71.371856	 75.987829
MF   	 0.003050	 0.049194	 0.034454	 132.613557	 41.650414
ALP1 	 0.034397	 0.004984	 0.004298	 244.449351	 50.877589
2Q1  	 0.035706	 0.006134	 0.004009	 175.160251	 39.165257
SIG1 	 0.035909	 0.014342	 0.004428	 205.648810	 17.670626
Q1   	 0.037219	 0.081052	 0.004348	 147.862777	 3.269220
RHO1 	 0.037421	 0.011545	 0.005061	 168.892950	 23.660193
O1   	 0.038731	 0.479705	 0.004570	 151.419529	 0.545129
TAU1 	 0.038959	 0.031732	 0.007331	 238.694910	 12.666106
BET1 	 0.040040	 0.007259	 0.003826	 112.369679	 39.749711
NO1  	 0.040269	 0.068865	 0.009097	 181.020516	 7.511649
CHI1 	 0.040471	 0.006824	 0.004953	 168.648104	 39.298163
PI1  	 0.041439	 0.012973	 0.005822	 163.122043	 23.769059
P1   	 0.041553	 0.273708	 0.005212	 165.025186	 1.153932
S1   	 0.041667	 0.051893	 0.008613	 117.710726	 8.626766
K1   	 0.041781	 0.868577	 0.004800	 165.637153	 0.311337
PSI1 	 0.041895	 0.011304	 0.005200	 155.236696	 27.914494
PHI1 	 0.042009	 0.016315	 0.005787	 163.823729	 20.350484
THE1 	 0.043091	 0.006263	 0.004992	 237.214137	 40.933529
J1   	 0.043293	 0.044076	 0.004044	 189.439873	 6.246858
SO1  	 0.044603	 0.028500	 0.004724	 276.700695	 8.908523
OO1  	 0.044831	 0.034657	 0.003530	 202.227422	 6.374737
UPS1 	 0.046343	 0.004377	 0.003283	 235.712905	 44.323307
OQ2  	 0.075975	 0.004272	 0.001623	 49.836932	 17.883401
EPS2 	 0.076177	 0.003519	 0.001857	 24.545656	 30.445709
2N2  	 0.077487	 0.022092	 0.001710	 95.195307	 4.080281
MU2  	 0.077689	 0.019118	 0.001966	 65.369384	 5.872414
N2   	 0.078999	 0.194910	 0.002204	 135.471002	 0.588079
NU2  	 0.079202	 0.037824	 0.001814	 140.250495	 2.764383
H1   	 0.080397	 0.005277	 0.001781	 320.261538	 20.343697
M2   	 0.080511	 0.925302	 0.002021	 158.882451	 0.127308
H2   	 0.080625	 0.006991	 0.002010	 184.715960	 16.123740
MKS2 	 0.080740	 0.003011	 0.001457	 252.158835	 30.503239
LDA2 	 0.081821	 0.010614	 0.001889	 187.588744	 11.435533
L2   	 0.082024	 0.026045	 0.001447	 178.384597	 3.299502
T2   	 0.083219	 0.016226	 0.001843	 169.624312	 6.586463
S2   	 0.083333	 0.235276	 0.001841	 179.472147	 0.563572
R2   	 0.083447	 0.001718	 0.001465	 85.506524	 55.284781
K2   	 0.083561	 0.063872	 0.001652	 178.656629	 1.482412
MSN2 	 0.084845	 0.004742	 0.001897	 32.215526	 24.859442
ETA2 	 0.085074	 0.003140	 0.001241	 178.993582	 19.855265
MO3  	 0.119242	 0.000609	 0.000580	 279.773599	 76.123021
M3   	 0.120767	 0.003068	 0.000870	 159.713973	 13.590742
SO3  	 0.122064	 0.001071	 0.000704	 161.614672	 44.194497
MK3  	 0.122292	 0.005852	 0.000719	 180.069196	 8.532100
SK3  	 0.125114	 0.002147	 0.000665	 225.806393	 20.939101
MN4  	 0.159511	 0.003089	 0.000799	 138.147553	 13.111773
M4   	 0.161023	 0.008520	 0.000694	 157.207918	 4.941894
SN4  	 0.162333	 0.000354	 0.000555	 140.630866	 92.844313
MS4  	 0.163845	 0.004233	 0.000659	 171.950178	 8.251643
MK4  	 0.164073	 0.002157	 0.000596	 264.937319	 15.416057
S4   	 0.166667	 0.000338	 0.000486	 243.737150	 99.674125
SK4  	 0.166895	 0.000030	 0.000339	 218.852886	 226.956657
2MK5 	 0.202804	 0.005118	 0.001253	 84.510612	 12.028802
2SK5 	 0.208447	 0.000152	 0.000677	 311.605084	 233.952893
2MN6 	 0.240022	 0.004760	 0.000789	 45.216266	 9.174503
M6   	 0.241534	 0.008759	 0.000730	 66.621237	 5.495869
2MS6 	 0.244356	 0.007838	 0.000774	 94.393939	 4.928486
2MK6 	 0.244584	 0.001711	 0.000654	 92.559679	 19.725669
2SM6 	 0.247178	 0.001870	 0.000778	 115.631737	 21.350669
MSK6 	 0.247406	 0.000898	 0.000631	 112.225362	 41.096942
3MK7 	 0.283315	 0.000515	 0.000485	 322.245125	 58.132229
M8   	 0.322046	 0.000645	 0.000459	 103.743774	 45.060293
